sku,nom,categorie,prix_dt,disponibilite,caracteristiques,description
LS-CP-000001,Carte Arduino Uno R3 (original),Cartes Programmables,63.18,en stock,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Uno R3, original, idéale pour prototypage électronique."
LS-CP-000002,Carte Arduino Uno R3 (compatible (clone)),Cartes Programmables,31.61,en stock,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Uno R3, compatible (clone), idéale pour prototypage électronique."
LS-CP-000003,Carte Arduino Nano (original),Cartes Programmables,70.67,en stock,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Nano, original, idéale pour prototypage électronique."
LS-CP-000004,Carte Arduino Nano (compatible (clone)),Cartes Programmables,35.17,rupture de stock,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Nano, compatible (clone), idéale pour prototypage électronique."
LS-CP-000005,Carte Arduino Mega 2560 (original),Cartes Programmables,70.98,en stock,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Mega 2560, original, idéale pour prototypage électronique."
LS-CP-000006,Carte Arduino Mega 2560 (compatible (clone)),Cartes Programmables,40.42,en stock,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Mega 2560, compatible (clone), idéale pour prototypage électronique."
LS-CP-000007,Carte Arduino Micro (original),Cartes Programmables,75.91,en stock,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Micro, original, idéale pour prototypage électronique."
LS-CP-000008,Carte Arduino Micro (compatible (clone)),Cartes Programmables,44.6,en stock,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Micro, compatible (clone), idéale pour prototypage électronique."
LS-CP-000009,Carte Arduino Leonardo (original),Cartes Programmables,82.39,en stock,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Leonardo, original, idéale pour prototypage électronique."
LS-CP-000010,Carte Arduino Leonardo (compatible (clone)),Cartes Programmables,46.58,stock faible,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Leonardo, compatible (clone), idéale pour prototypage électronique."
LS-CP-000011,Carte Arduino Pro Mini (original),Cartes Programmables,87.2,stock faible,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Pro Mini, original, idéale pour prototypage électronique."
LS-CP-000012,Carte Arduino Pro Mini (compatible (clone)),Cartes Programmables,51.09,en stock,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Pro Mini, compatible (clone), idéale pour prototypage électronique."
LS-CP-000013,Carte Arduino Due (original),Cartes Programmables,88.73,sur commande,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Due, original, idéale pour prototypage électronique."
LS-CP-000014,Carte Arduino Due (compatible (clone)),Cartes Programmables,54.75,en stock,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Due, compatible (clone), idéale pour prototypage électronique."
LS-CP-000015,Carte Arduino Uno R4 Minima (original),Cartes Programmables,94.7,stock faible,"Microcontrôleur AVR/SAM selon modèle, variante original","Carte de développement Arduino Uno R4 Minima, original, idéale pour prototypage électronique."
LS-CP-000016,Carte Arduino Uno R4 Minima (compatible (clone)),Cartes Programmables,61.7,stock faible,"Microcontrôleur AVR/SAM selon modèle, variante compatible (clone)","Carte de développement Arduino Uno R4 Minima, compatible (clone), idéale pour prototypage électronique."
LS-CP-000017,Module ESP32 DevKitC (4MB Flash),Cartes Programmables,41.91,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 4MB Flash","Carte ESP32 DevKitC pour projets IoT connectés, 4MB Flash de stockage."
LS-CP-000018,Module ESP32 DevKitC (8MB Flash),Cartes Programmables,40.57,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 8MB Flash","Carte ESP32 DevKitC pour projets IoT connectés, 8MB Flash de stockage."
LS-CP-000019,Module ESP32-S3 (4MB Flash),Cartes Programmables,45.88,stock faible,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 4MB Flash","Carte ESP32-S3 pour projets IoT connectés, 4MB Flash de stockage."
LS-CP-000020,Module ESP32-S3 (8MB Flash),Cartes Programmables,45.73,stock faible,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 8MB Flash","Carte ESP32-S3 pour projets IoT connectés, 8MB Flash de stockage."
LS-CP-000021,Module ESP32-C3 (4MB Flash),Cartes Programmables,48.68,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 4MB Flash","Carte ESP32-C3 pour projets IoT connectés, 4MB Flash de stockage."
LS-CP-000022,Module ESP32-C3 (8MB Flash),Cartes Programmables,49.66,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 8MB Flash","Carte ESP32-C3 pour projets IoT connectés, 8MB Flash de stockage."
LS-CP-000023,Module ESP8266 NodeMCU (4MB Flash),Cartes Programmables,54.37,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 4MB Flash","Carte ESP8266 NodeMCU pour projets IoT connectés, 4MB Flash de stockage."
LS-CP-000024,Module ESP8266 NodeMCU (8MB Flash),Cartes Programmables,54.57,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 8MB Flash","Carte ESP8266 NodeMCU pour projets IoT connectés, 8MB Flash de stockage."
LS-CP-000025,Module ESP8266 Wemos D1 Mini (4MB Flash),Cartes Programmables,59.95,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 4MB Flash","Carte ESP8266 Wemos D1 Mini pour projets IoT connectés, 4MB Flash de stockage."
LS-CP-000026,Module ESP8266 Wemos D1 Mini (8MB Flash),Cartes Programmables,59.21,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 8MB Flash","Carte ESP8266 Wemos D1 Mini pour projets IoT connectés, 8MB Flash de stockage."
LS-CP-000027,Module ESP32-CAM (4MB Flash),Cartes Programmables,67.92,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 4MB Flash","Carte ESP32-CAM pour projets IoT connectés, 4MB Flash de stockage."
LS-CP-000028,Module ESP32-CAM (8MB Flash),Cartes Programmables,66.22,en stock,"WiFi 802.11 b/g/n, Bluetooth (selon modèle), 8MB Flash","Carte ESP32-CAM pour projets IoT connectés, 8MB Flash de stockage."
